NumeJudet,Autobuze_microbuze,Autoturisme,Mopede_motociclete ,AutovehiculePentruTransportulMarfurilor,VehiculeRutiere_ScopuriSpeciale,Tractoare,Remorci_semiremorci
Alba,0.004478932222558142,0.7568107763109275,0.01981927508481978,0.1289820506791181,0.0038014937238962233,0.006348886425476166,0.07975858555320411
Arad,0.005052519029110047,0.7604325972927612,0.0213800870277779,0.12212372317629479,0.003948239067847486,0.004368917148328462,0.08269391725788004
Arges,0.00598089950169832,0.7660061024364969,0.01442452232762536,0.13868970325783114,0.005178115664839347,0.005923329346066999,0.06379732746544191
Bacau,0.005713492924349822,0.7970175482851113,0.014151300355674395,0.12216532553035844,0.004860042546393226,0.003800586904791935,0.05229170345332089
Bihor,0.004899264601030781,0.7582316472801103,0.018792397482124305,0.13256194531021886,0.003935029572137682,0.0024173779597601633,0.07916233779461794
Bistrita-Nasaud,0.004553613465160075,0.7580331920903954,0.013557850753295669,0.1477239289077213,0.0035825682674199624,0.0026924435028248587,0.06985640301318267
Botosani,0.006575136846055326,0.8279451473695374,0.010694794547367905,0.10743740975502312,0.004054395797133371,0.003923871988774952,0.03936924369610794
Braila,0.006584680137448005,0.8130230340496194,0.010966246321292932,0.10755799615277116,0.0038883317166203573,0.003378656100488302,0.05460105552175986
Brasov,0.00601051581342199,0.7734819218460327,0.04193896961599674,0.1026448340980256,0.0056825439568596176,0.008275247791368472,0.06196596687829482
Buzau,0.005601888104612386,0.7776603492555457,0.011619947759518556,0.14254970785852358,0.004857160067244561,0.00395362972779095,0.05375731722676421
Calarasi,0.00631522032981887,0.7879535009462016,0.012165450121654502,0.12165450121654502,0.004195728575290619,0.006347661530143282,0.06136793728034604
Caras-Severin,0.005197404525938599,0.8080107821932402,0.023299544823578783,0.09731413629467024,0.004632469251380056,0.007102043451593118,0.05444361945959906
Cluj,0.0052501143916611785,0.7851896521171053,0.02319307460981203,0.12270720760036712,0.004493674736237956,0.0032056114068984122,0.05596066513791799
Constanta,0.006495328976384267,0.8193679941805518,0.01467176823016605,0.10355009250402378,0.00528389857205863,0.0030615108799624258,0.04756940665685303
Covasna,0.004142493938412306,0.7194491072042093,0.025610821529188876,0.12209559148334659,0.004329004329004329,0.026474659127720353,0.09789832238811831
Dambovita,0.0059744066027240155,0.798159157407725,0.014521875934266824,0.1201007660375324,0.005548013350519758,0.0050971147389934175,0.05059866592823851
Dolj,0.004361755640404982,0.808541883994855,0.010161675292274764,0.11886121717289365,0.0038080962557096123,0.0031362778559877926,0.05112909378787418
Galati,0.006233331826605795,0.7937440672603173,0.011643990417212856,0.12172399764950503,0.00407720471907065,0.0029833205261492564,0.05959408760113909
Giurgiu,0.006927485186662645,0.7930511096624797,0.015976026231039414,0.12828496093559968,0.005672364977281351,0.0034832018213837457,0.04660485118555347
Gorj,0.0071424131286131655,0.7894013799962702,0.01292969478460869,0.12065021445887984,0.004338907192142724,0.010735376390874619,0.05480201404861068
Harghita,0.0036452734956570506,0.7450444977066824,0.03003678655121075,0.11421856953058758,0.004566606357196744,0.0064025957551925115,0.09608567060347302
Hunedoara,0.006330312319289285,0.7989396598928401,0.01965620826062259,0.10379255817285796,0.0053528752513957905,0.0053017005357992725,0.06062668556719496
Ialomita,0.006610719250373269,0.7821860680636359,0.009349739998970293,0.12301910106574679,0.005560418061061628,0.0066622046027905064,0.06661174895742161
Iasi,0.007220999203896051,0.815969172463026,0.012651698915728846,0.11974823679794283,0.004085171909864588,0.0026462046772041427,0.03767851603233752
Ilfov,0.004828007294577185,0.7954526155749736,0.01875401828496565,0.13463023691201623,0.006303905671897682,0.000841059897212776,0.039190156364356854
Maramures,0.0050026026431799235,0.7705482133891021,0.016960941926508728,0.1404275705132044,0.0043024225310589765,0.002892849410604965,0.05986539958634096
Mehedinti,0.005835505488261344,0.8048036943169211,0.013880746439620105,0.1070774670118063,0.004004581818837769,0.003246958231490083,0.06115104669306323
Municipiul Bucuresti,0.006398056418573448,0.7992118855475442,0.02021155336707245,0.1296591567826693,0.007825129778350952,0.0019168767219649452,0.03477734138382477
Mures,0.004963677465547895,0.7813970700626695,0.027288158773320033,0.11098284031761099,0.006645052814493616,0.0045453448428436965,0.06417785572351431
Neamt,0.005682363351421657,0.7870019936246655,0.014515080118124926,0.1290951929125044,0.004104521370163861,0.0036460943080416637,0.05595475431507799
Olt,0.004182824277809246,0.8035628699652054,0.010052472036699303,0.12086619319419634,0.003790684501764629,0.004668330667197819,0.052876625357127297
Prahova,0.005838055868425553,0.8067072775199466,0.018696521344286076,0.10839028877736957,0.005944202338760563,0.0036207740436497876,0.05080288010756176
Salaj,0.005171546245736969,0.7624256881417842,0.01570100076408431,0.12397733837753219,0.004454052442274362,0.0027674760990700534,0.08550289792951789
Satu Mare,0.005033940049258124,0.7717126208926534,0.021018802186580164,0.12670150777917943,0.0034000120141767284,0.00669790352616087,0.06543521355199135
Sibiu,0.005512550418185091,0.7767733334630785,0.023723915127158435,0.10893733791982718,0.005215758206791189,0.002797631500844155,0.07703947336411539
Suceava,0.0044960267670430785,0.7644527192023853,0.012243493746711458,0.15172825515036226,0.0037809797493288002,0.002748883582250644,0.060549641801918484
Teleorman,0.005532479619448131,0.8019079298874545,0.009746471105289464,0.12657486082625255,0.004687957808379725,0.0035418210647868873,0.048008479688388686
Timis,0.004087447085771637,0.7989164892741611,0.025304400143532794,0.10777640180549147,0.004346453633780929,0.0029893672416072435,0.05657944081565479
Tulcea,0.005734701772751064,0.7817854948455955,0.014188835536945589,0.13047584370661994,0.0055640261247525205,0.004392053341829188,0.05785904467150627
Valcea,0.005929595891074717,0.7666501114449075,0.016631941079561972,0.12154157379591046,0.007147010369221824,0.010120893497431921,0.07197887392189166
Vaslui,0.007587456073721025,0.7979516372711869,0.011969650175705115,0.1299550094738863,0.0038646778461307314,0.0051334273766099345,0.04353814178276003
Vrancea,0.004562585316636002,0.7510312184699389,0.013791619680693217,0.16148584485726156,0.004065523176449641,0.007693334916018755,0.05736987358300196
